bedrooms,built,createDate,energyColor,energyLabel,finnkode,isSold,lastUpdated,latitude,longitude,ownership,postNumber,primaryRoom,propertyType,rooms,totalPrice,usableArea
4,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,101,Leilighet,5,9497544,101
4,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,101,Leilighet,5,8997544,101
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,51,Leilighet,2,6227193,51
4,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,101,Leilighet,5,9847544,101
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,44,Leilighet,2,5674573,44
3,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,True,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,102,Leilighet,4,8547746,102
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,44,Leilighet,2,5224573,44
3,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,102,Leilighet,4,9847746,102
3,,2022-03-18T15:16:52.474+01:00,,,251759566,False,2023-11-08T08:32:19.163+01:00,68.5887,16.571032,Eier (Selveier),9440,114,Rekkehus,,4906707,121
4,,2023-08-18T12:27:16.324+02:00,,,315775982,False,2023-11-08T11:57:13.784+01:00,63.4459020372481,10.8989094537381,Eier (Selveier),7517,138,Enebolig,,5934920,169
4,,2023-08-18T12:27:16.324+02:00,,,315775982,False,2023-11-08T11:57:13.784+01:00,63.4459020372481,10.8989094537381,Eier (Selveier),7517,138,Enebolig,,5791250,169
2,,2023-04-11T10:11:42.379+02:00,,,298325526,True,2023-09-23T21:40:25.192+02:00,63.7894036908523,11.4817351941749,Andel,7650,76,Leilighet,3,5232270,80
3,,2023-04-11T10:11:42.379+02:00,,,298325526,False,2023-09-23T21:40:25.192+02:00,63.7894036908523,11.4817351941749,Andel,7650,109,Leilighet,4,6402270,113
3,,2023-04-11T10:11:42.379+02:00,,,298325526,False,2023-09-23T21:40:25.192+02:00,63.7894036908523,11.4817351941749,Andel,7650,109,Leilighet,4,6812270,113
3,,2023-04-11T10:11:42.379+02:00,,,298325526,False,2023-09-23T21:40:25.192+02:00,63.7894036908523,11.4817351941749,Andel,7650,109,Leilighet,4,6082270,113
2,,2023-04-11T10:11:42.379+02:00,,,298325526,False,2023-09-23T21:40:25.192+02:00,63.7894036908523,11.4817351941749,Andel,7650,76,Leilighet,3,4642270,80
